name;Al;Ca;Cd;Co;Cu;Fe;Mg;Mn;Ni;Pb;S;Sc;Si;Zn;dAl;dCa;dCd;dCo;dCu;dFe;dMg;dMn;dNi;dPb;dS;dSc;dSi;dZn;Масса навески (g);sample_mass;Разбавление
T2-L6A1;253.13333333333333;66.51;0.30296666666666666;1.3193333333333335;9.526;3867.5;166.65;7.489333333333334;37.12;11.015;6258.333333333333;0.7579333333333333;9.08;0.9654;11.404531263201184;0.11313708498984519;0.43093273643729285;0.015176736583776303;0.2517300141024108;208.59650045003153;4.73761543394986;0.03550117368951802;0.5196152422706624;14.771460658986978;3786.2657504899644;0.006784049921199993;2.7985703493033727;0.13095617587574862;0.0;0.0;10.0
T2-L6A2;223.66666666666666;82.595;0.2552;1.3273333333333335;8.273;3820.0;158.60000000000002;7.203333333333333;37.666666666666664;9.90865;5875.333333333333;0.7752666666666667;11.37;0.94805;9.945015501915186;0.14849242404918062;0.35692705137044456;0.03511884584284249;0.16263455967290624;206.47518010647187;4.66690475583121;0.03667878587594394;0.57812916665165;13.33794308148749;3371.4522587949145;0.0073568562126314;2.1154668515483763;0.1088237336246096;0.0;0.0;10.0
T2-L6B1;10.024333333333333;56.325;0.004966666666666667;0.036366666666666665;0.39315;191.8;7.275;0.2849333333333333;0.8592333333333334;0.22064999999999999;402.0333333333333;0.9863333333333334;10.949999999999998;0.03515;0.08936628745412496;0.24748737341529264;0.004909514572066503;0.005657148869645675;0.0038890872965259755;2.262741699796964;0.026870057685088357;0.00258907963055086;0.0145973741930983;0.24769950544964758;26.695005775113316;0.007352777253074749;0.2260530911091469;0.0028991378028648445;0.1006;0.0;0.0
T2-L6B2;6.939333333333334;45.135;0.003866666666666667;0.032;0.2881;139.35;4.859999999999999;0.21089999999999998;0.7408666666666667;0.15475;345.3666666666666;1.1986666666666668;2.8096666666666663;0.04085;0.18920976014289861;0.37476659402887097;0.0027934447074057745;0.005115662224971465;0.0005656854249492149;7.990306627407995;0.48648946545634447;0.003966106403010395;0.03358635635690979;0.1460175503150221;23.195761107006884;0.0420990894596705;0.047857427149120085;0.0020506096654409876;0.1428;0.0;0.0
T2-L7A1;245.20000000000002;81.28;0.27626666666666666;1.3126666666666669;8.84;3619.0;161.7;7.410333333333334;37.14666666666667;10.135950000000001;6080.0;0.7939666666666666;7.931333333333334;0.954;11.048981853546506;0.028284271247456274;0.3872493554976345;0.014742229591664;0.1965756851698593;76.36753236814714;6.222539674441606;0.05234819321937803;0.7138860786801561;13.568035628085592;3656.4742580797692;0.010217794934981485;1.993455626125983;0.12020815280171303;0.0;0.0;10.0
T2-L7A1;240.63333333333333;79.34;0.2871333333333333;1.2833333333333332;8.6765;3672.0;158.14999999999998;7.229666666666667;36.46333333333333;10.5972;6060.333333333333;0.8044666666666668;7.995;0.93285;11.4692342086703;0.5939696961967024;0.401626148717104;0.0070237691685684995;0.1831406563273148;319.6122650963195;6.434671708797578;0.04285246006162661;0.3350124375800607;14.245090371071713;3610.9655680071687;0.007011656960614472;2.584528777166159;0.12042028483606905;0.0;0.0;10.0
T2-L7A2;258.16666666666663;71.935;0.2785666666666667;1.2886666666666666;9.402000000000001;3623.5;166.0;7.537333333333334;36.769999999999996;10.4212;6032.333333333333;0.7944;8.568333333333333;0.9589000000000001;12.116655204029419;0.09192388155424797;0.3947354092722533;0.008326663997864539;0.2121320343559635;57.27564927611035;6.505382386916229;0.0695149863938226;0.8951536181013837;13.970732939971331;3633.012019431443;0.010842970072816769;2.07509236742207;0.12600642840744278;0.0;0.0;10.0
T2-L7A2;257.06666666666666;71.52000000000001;0.2891333333333333;1.2813333333333332;9.3645;3662.5;164.6;7.476333333333334;36.60333333333333;10.954450000000001;6035.666666666667;0.8002333333333334;8.722333333333333;0.9500500000000001;11.983460824542025;0.2545584412271567;0.4053359388622397;0.01429452109492771;0.16758430714121184;167.58430714121175;6.929646455628173;0.05575242894559226;0.5000333322222955;14.72981206957509;3631.7902380690066;0.007777746031681227;2.536550873397444;0.12720850993545996;0.0;0.0;10.0
T2-L6P6F6N6A1;0.08403333333333333;62.730000000000004;0.0004333333333333333;0.0003333333333333333;0.00285;6.551;6.8555;0.008133333333333333;0.004633333333333333;0.0037;79.71;1.037;0.13106666666666666;0.0088;0.006027713773341706;0.08485281374238389;0.00020816659994661325;0.00041633319989322655;0.0004949747468305834;0.05374011537017798;0.1025304832720491;0.00011547005383792545;0.0004163331998932268;0.005232590180780452;10.894480253779893;0.0055677643628300865;0.0023965252624024926;0.0004242640687119284;0.0;0.0;10.0
T2-L6P6F6N6A2;0.05216666666666667;54.724999999999994;0.0008333333333333332;0.0010666666666666665;0.00145;20.34;57.125;0.6723666666666667;0.0017000000000000001;0.01935;167.76666666666668;1.0123333333333333;0.34493333333333337;0.00775;0.006628976793844832;0.09192388155425299;0.0004725815626252608;0.0010503967504392486;0.001202081528017131;0.09899494936611705;2.722361107568204;0.010206533855003504;0.0014798648586948741;0.027365032431919387;21.081350367880457;0.0070237691685684995;0.006079747801786935;0.0006363961030678932;0.0;0.0;10.0
