name;Ca 315.887;Ca 317.933;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 239.563;Fe 258.588;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Sc 335.372;Sc 357.634;Sc 361.383;Масса навески (g);sample_mass;Разбавление
T2-L2P2F2B2;320.6;308;0.0154;0.0164;;;0.1298;0.1351;239.1;;;0.2786;0.2606;0.2601;0.255;0.986;1.019;1.026;105.5;1.34;
T2-L2P2F2F1;294.3;274.2;0.5338;0.5453;;;2.544;2.481;289.4;;;13.74;14;13.7;13.83;0.9854;1.026;1.032;109.7;6.39;
T2-L2P2F2F2;234.5;218.6;0.7631;0.777;;;4.172;4.108;246.6;;;19.88;20.06;19.79;19.93;0.9889;1.028;1.033;101.6;3.197;
T2-L2P2F2F2F2;255.6;238.1;0.248;0.2485;;;1.388;1.336;255.8;;;5.379;5.467;5.374;5.425;0.9878;1.025;1.03;103.7;2.297;
T2-L2P2F2N2B11;302.3;279.6;0.014;0.0146;;;0.0318;0.038;223.2;;;0.2869;0.2804;0.2686;0.2744;0.9819;1.033;1.043;99.4;80.16;
T2-L2P2F2N2B12;323.7;301.4;0.0148;0.0157;;;0.0309;0.0388;241.5;;;0.3445;0.3298;0.3259;0.324;0.9689;1.002;1.009;95.5;80.16;
T2-L2P2F2N2B21;352.7;345.3;0.0189;0.0194;;;0.0426;0.0512;277.6;;;0.4256;0.4113;0.3999;0.4048;0.9678;1.008;1.013;108.4;77.829;
T2-L2P2F2N2B22;332.2;311.6;0.017;0.0178;;;0.044;0.0519;249.5;;;0.376;0.3589;0.3516;0.3535;0.9512;0.9723;0.9808;96.1;77.829;
T2-L2P2F2N2B2;329.2;332.6;0.0192;0.0169;;;0.0436;0.054;276.2;284.1;;0.4548;0.4072;0.4435;0.423;0.9957;0.9792;0.964;103.3;77.829;
T2-L3B1;30.11;29.98;0.0314;0.0266;;;0.2342;0.2401;164.5;168.1;;0.6716;0.6524;0.6757;0.6603;1.038;1.032;1.023;97;;
T2-L3A1;48.88;49.73;1.243;1.259;1.265;1.792;8.458;8.734;2596 ox;1897 x;3288 ox;39.49 x;37.90 x;39.00 x;38.15 x;0.805;0.7983;0.8055;;;10
T2-L3B2;45.05;45.69;0.04;0.0328;;;0.3382;0.3462;207.6;224.8;;0.8347;0.8152;0.8454;0.8325;1.035;1.026;1.017;113.8;;
T2-L3A1;41.39;42.11;1.175;1.178;1.225;1.755;8.986;9.215;2446 x;1815 x;3181 ox;37.55 x;35.93 x;36.88 x;36.07 x;0.8343;0.8289;0.8348;;;10
T2-L3P3A11;49.05;49.27;0.1243;0.1666;0.203;0.2538;-0.0037 uv;0.008;1824 x;1363 x;2178 ox;2.421;2.098;2.132;2.082;1.107;1.107;1.098;;;10
T2-L3P3A12;57.94;58.23;0.4811;0.5379;0.6387;0.7598;-0.0058 uv;0.0114;2436 ox;1746 x;2884 ox;3.269;2.633;2.676;2.605;0.9048;0.9032;0.9013;;;10
T2-L3P3B1;291.4;281.9;0.0306;0.03;;;0.2695;0.2808;249.3;256.3;;0.9516;0.9258;0.9515;0.9417;1.001;0.9969;0.9849;98;;
T2-L3P3B1;192.7;183.9;0.0186;0.0124;;;0.112;0.1183;166.4;170.8;;0.5069;0.4849;0.4943;0.4941;1.048;1.038;1.028;107.9;;
T2-L3P3B2;270.1;258.9;0.0292;0.0237;;;0.193;0.2021;224.8;236.8;;0.7018;0.6752;0.6852;0.6885;0.9862;0.9767;0.9685;138.1;;
T2-L3P3B2;139;140.6;0.0154;0.0105;;;0.0992;0.1036;118;120.7;;0.3717;0.3542;0.3676;0.3641;1.036;1.027;1.018;100.1;;
