name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;;
NV1-10.2;16.89;8.89;0.19;0.10;4.06;0.83;173.86;25.72;11.61;0.23;Твердый продукт автоклавного выщелачивания с лигногуматом 10-2 (правильный шифр AV_1_102);True;;
AV-1-4.2;42.76;49.84;0.01;0.01;0.10;0.00;11.85;0.14;0.65;0.00;Твердый продукт автоклавного выщелачивания с лигногуматом 4-2 ;True;;
AV11-110-N;76.91;73.74;0.10;0.01;0.52;0.00;18.73;0.29;4.36;0.03;Отфильтрованный гипс нейтрализации до pH2 Пульпы САВ образца AV11;True;;
AV12-1-1-C-1;50.34;47.65;0.06;0.03;1.28;0.12;50.79;2.82;2.50;0.02;Камерный продукт флотации после САВ из образца AV12;True;;
AV13-2-1-C;64.97;58.96;0.04;0.01;0.49;0.00;80.85;5.10;1.58;0.02;Камерный продукт флотации после САВ из образца AV13;True;;
AV12-1-1-F;37.79;19.23;0.10;0.05;2.68;0.15;118.27;5.49;4.07;0.03;Концентрат флотации после САВ из образца AV12;True;;
AVI3-2-1-I;41.79;32.06;0.10;0.05;1.01;0.05;115.51;7.82;2.86;0.02;Концентрат флотации после САВ из образца AV13;True;;
NV-1-2-I;6.19;1.89;0.21;0.11;2.02;0.33;200.57;43.91;10.05;0.20;Промежуточный продукт флотации нитритного выщелачивания NV_1_2;True;;
NV1-3-F;7.49;2.65;0.24;0.10;4.22;0.88;157.32;25.48;12.70;0.26;Концентрат флотации нитритного выщелачивания NV_1_3;True;;
NV-1-2-C;12.47;5.97;0.10;0.01;1.08;0.08;185.33;36.97;4.12;0.06;Камерный продукт флотации нитритного выщелачивания NV_1_2;True;;
T13_110_0_1_F;155.49;0.42;0.00;0.00;0.48;0.03;69.01;0.41;2.14;0.03;;True;;
T13_110_0_1_I;178.89;0.74;0.00;0.00;0.33;0.03;54.89;0.43;1.74;0.03;;True;;
T13_275_0_1_I;121.81;0.28;0.00;0.00;0.51;0.03;135.76;1.51;2.73;0.03;;True;;
T13_275_0_1_С;130.16;4.79;0.01;0.00;0.14;0.00;49.59;0.28;0.73;0.00;;True;;
T13_310_0_1_F;157.97;0.24;0.00;0.00;0.65;0.03;130.30;1.81;1.20;0.03;;True;;
T13-110-Б-1-С;188.76;5.84;0.01;0.01;0.22;0.00;42.19;1.09;0.82;0.02;;True;;
T13-110-Б-1-I;118.74;0.70;0.04;0.03;0.77;0.01;148.80;11.27;2.69;0.04;;True;;
T13-110-aБ-1-I;241.27;7.23;0.02;0.02;0.40;0.01;68.69;1.95;1.45;0.03;;True;;
AV-1-42;22.90;1.09;0.20;0.14;5.56;0.08;318.31;55.91;15.84;0.62;Твердый продукт автоклавного выщелачивания с лигногуматом 4-2 ;True;;
AV-1-42-F;31.65;1.64;0.22;0.12;10.18;0.11;283.86;28.57;16.87;0.64;Концентрат флотации образца автоклавного выщелачивания с лигногуматом 4_2;True;;
AV-1-131-C;34.32;1.87;0.30;0.13;7.72;0.09;317.95;38.85;19.76;0.82;Камерный продукт флотации автоклавного выщелачивания с лигногуматом 13.1;True;;
AV-1-131-F;9.62;0.43;0.71;0.47;19.60;0.29;559.62;149.98;56.17;3.04;Концентрат флотации автоклавного выщелачивания с лигногуматом 13.1;True;;
NV-MSP-I;16.41;0.75;0.18;0.12;3.37;0.02;392.04;87.48;5.96;0.12;Продукт атмосферного нитритного выщелачивания из МСП;True;;
NV-AV-1-I;14.26;0.47;0.03;0.02;3.33;0.01;441.18;104.97;1.38;0.04;продукт атмосферного нитритного выщелачивания из AV_1_1_C;True;;
NV1-6-0-1-F;4.33;0.04;0.38;0.01;6.63;0.08;392.60;76.04;19.21;0.74;Концентрат флотации нитритного выщелачивания NV1_6;True;;
NV1-3-C;16.15;0.71;0.30;0.01;5.25;0.06;332.07;56.60;19.10;0.74;Камерный продукт флотации нитритного выщелачивания ТМ_1_3;True;;
NV1-6-0-1-I;10.66;0.27;0.22;0.13;2.43;0.04;279.69;43.06;13.25;0.45;Промежуточный продукт  флотации нитритного выщелачивания NV1_6;True;;
NV1-6-0-1-C;9.60;0.36;0.38;0.01;5.68;0.03;433.09;65.39;19.84;0.81;Камерный продукт флотации нитритного выщелачивания NV1_6;True;;
NVI_4_1_I;12.45;0.34;0.16;0.11;4.35;0.02;314.18;51.07;10.54;0.32;Промежуточный продукт флотации образца NV_1_4;True;;
