Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-L3P3C2;6,137;некал ;6,277;270,1;258,9;некал ;8.251 o;196.3 o;0,0023;0,0123;0,0022;0,0292;0,0298;0,0171;некал ;0,0237;0,193;0,2021;224,8;некал ;некал ;236,8;некал ;некал ;3,994;некал ;3,865;некал ;некал ;0,1337;0,1358;некал ;0,7018;0,6752;0,638;0,6852;0,6885;0,0294;0,4544;некал ;некал ;некал ;некал ;427,2;0,9862;0,9767;0,9685;1,989;2,289;некал ;2,124;1,153;2,026;0,0675;0,064;0,0856;7,131;некал ;некал ;некал 
T2-L3P3C1;7,867;некал ;8,011;291,4;281,9;некал ;8.082 o;193.0 o;0,003;0,0141;0,0021;0,0306;0,0314;0,0194;некал ;0,03;0,2695;0,2808;249,3;некал ;некал ;256,3;некал ;некал ;4,697;некал ;4,582;некал ;некал ;0,237;0,2402;некал ;0,9516;0,9258;0,8696;0,9515;0,9417;0,0304;0,5117;некал ;некал ;некал ;некал ;467,1;1,001;0,9969;0,9849;8,757;4,906;некал ;9,195;5,074;8,937;0,1778;0,1714;0,199;8,39;некал ;некал ;некал 
T2-L3B2;9,103;некал ;9,212;45,05;45,69;некал ;8.545 o;46,16;0,0026;0,0115;0.0015 uv;0,04;0,0395;0,0223;некал ;0,0328;0,3382;0,3462;207,6;некал ;некал ;224,8;некал ;некал ;7,233;некал ;6,873;некал ;некал ;0,2527;0,2557;некал ;0,8347;0,8152;0,7662;0,8454;0,8325;0,0454;0,4305;некал ;некал ;некал ;некал ;519;1,035;1,026;1,017;9,922;4,972;некал ;10,38;5,739;10,15;0,146;0,1401;0,1614;11.11 x;некал ;некал ;некал 
T2-L4P4F4D1;5,659;некал ;5,799;137,9;140,6;некал ;8.506 o;116,9;0,0025;0,0063;0.0028 uv;0,043;0,04;0,0278;некал ;0,0354;2,5;2,534;96,32;некал ;некал ;100,3;некал ;некал ;1,948;некал ;1,789;некал ;некал ;0,066;0,0681;некал ;2,027;2,012;1,899;2,047;2,055;0,0111;0,1846;некал ;некал ;некал ;некал ;298,6;1,002;0,9866;0,9777;0,9947;1,029;некал ;1,069;0,5837;1,005;0,1038;0,082;0,1012;5,609;некал ;некал ;некал 
T2-L3B1;6,789;некал ;6,907;30,11;29,98;некал ;8.632 o;31,36;0,0013;0,0088;0,0025;0,0314;0,0309;0,0193;некал ;0,0266;0,2342;0,2401;164,5;некал ;некал ;168,1;некал ;некал ;5,556;некал ;5,337;некал ;некал ;0,1854;0,1888;некал ;0,6716;0,6524;0,6141;0,6757;0,6603;0,0383;0,3289;некал ;некал ;некал ;некал ;384,2;1,038;1,032;1,023;7,169;3,654;некал ;7,484;4,178;7,302;0,2656;0,2593;0,2729;7,648;некал ;некал ;некал 
T2-L3P3C2;4,235;некал ;4,326;139;140,6;некал ;8.170 o;132,9;0,0017;0,0063;0,0018;0,0154;0,0158;0,0077;некал ;0,0105;0,0992;0,1036;118;некал ;некал ;120,7;некал ;некал ;3,353;некал ;3,202;некал ;некал ;0,1112;0,1129;некал ;0,3717;0,3542;0,3356;0,3676;0,3641;0,0147;0,2302;некал ;некал ;некал ;некал ;218,6;1,036;1,027;1,018;3,701;2,135;некал ;3,873;2,182;3,79;0,0893;0,0872;0,0983;5,398;некал ;некал ;некал 
T2-L3P3C1;6,611;некал ;6,731;192,7;183,9;некал ;7.861 o;168.0 o;0,002;0,0088;0,0019;0,0186;0,0169;0,0065;некал ;0,0124;0,112;0,1183;166,4;некал ;некал ;170,8;некал ;некал ;3,841;некал ;3,69;некал ;некал ;0,1064;0,1089;некал ;0,5069;0,4849;0,459;0,4943;0,4941;0,0157;0,3239;некал ;некал ;некал ;некал ;292,5;1,048;1,038;1,028;1,763;1,789;некал ;1,871;1,039;1,793;0,1505;0,1472;0,1631;7,518;некал ;некал ;некал 
T2-L4P4F4C4N3B1;5,357;некал ;5,456;370,1;378;некал ;8.058 o;200.3 o;0,0025;0,0143;0,0038;0,0293;0,0316;0,0191;некал ;0,0258;0,0236;0,0337;248,5;некал ;некал ;256,1;некал ;некал ;14,93;некал ;14,83;некал ;некал ;0,2091;0,2131;некал ;0,5535;0,5256;0,4955;0,5474;0,5352;0,026;0,5106;некал ;некал ;некал ;некал ;421,9;0,979;0,9726;0,963;8,773;4,889;некал ;9,216;5,077;8,936;0,1908;0,1881;0,2146;5,604;некал ;некал ;некал 
Т2-N5B2;5,06;некал ;5,174;365,3;373,1;некал ;7.942 o;195.4 o;0,0023;0,0123;0.0015 uv;0,033;0,034;0,0235;некал ;0,0289;0,0262;0,0347;218,2;некал ;некал ;230,3;некал ;некал ;5,313;некал ;5,202;некал ;некал ;0,2036;0,2069;некал ;0,6124;0,5882;0,5543;0,6064;0,5957;0,0216;0,4164;некал ;некал ;некал ;некал ;395,1;0,9899;0,9897;0,9809;6,965;3,991;некал ;7,299;4,049;7,072;0,0911;0,0883;0,1096;4,822;некал ;некал ;некал 
T2-P5B2;6,45;некал ;6,607;132,7;134,9;некал ;8.086 o;127.0 o;0,0022;0,0104;0,0016;0,0314;0,0275;0,017;некал ;0,0243;0,1971;0,205;194,7;некал ;некал ;199,4;некал ;некал ;4,301;некал ;4,105;некал ;некал ;0,1252;0,1281;некал ;0,9095;0,8888;0,8347;0,8985;0,9013;0,0231;0,3675;некал ;некал ;некал ;некал ;269,7;1,046;1,036;1,027;0,808;1,614;некал ;0,8515;0,4577;0,8146;0,0993;0,0955;0,1148;5,953;некал ;некал ;некал 
