Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
1;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;мкг/л
E2-L25A2;141925;8825;200;21100;6825;8247.5;6925;483.75;25715;7805;748.5;53200;4327.5;1497.5;3460;775;3275;977.5;3455;167.5;42.5;87.5
E2-F25A1;15360;1020;240;800;51580;2238;2480;32.6;2010;22;331;1240;114;22;84;60;600;24;46;14;16;8
E2-F25A2;2420;880;220;920;51520;2286;2240;1.8;314;12;69.2;500;32;18;60;60;80;10;6;8;14;2
E2-N25G1;40;60;340;3880;57120;62;0;0.2;14;8;24;60;12;4;38;60;0;8;0;4;8;0
E2-N25G2;40;40;280;2840;64460;2.2;0;0.2;14;6;23.2;60;12;4;34;60;0;4;0;4;10;0
E2-N25L1;1600;20;220;180;58720;56.6;60;1.2;70;30;35;120;20;6;48;100;100;8;10;10;10;4
E2-N25L2;1300;40;180;160;123060;39.2;60;1.6;172;36;74.2;160;20;12;78;120;180;10;6;8;10;4
E2-N25A1;40;60;160;4060;61920;71.8;20;0.2;12;6;23.4;40;12;4;36;60;40;6;0;4;18;0
E2-N25A2;40;40;120;3100;69780;1.8;0;0.2;12;6;21.6;60;12;4;34;40;40;8;0;6;8;0
E2-N25N1;80;20;120;2040;30080;37.2;20;0.2;8;16;25.8;260;14;4;34;100;40;6;0;8;8;0
E2-N25N2;140;20;100;1800;38020;5;0;0.4;10;32;129;140;14;2;40;200;80;10;0;10;10;2
E2-P25A1;31440;2000;80;-80;44280;4256;3960;62;3036;22;566;2360;392;256;168;80;740;182;354;28;40;8
E2-P25A2;2460;1700;60;40;47900;4276;3400;1.2;122;26;71.4;920;72;24;82;80;100;18;34;22;18;2
E2-25A1;840;240;100;7100;44000;6690;60;12.4;1688;28;55.8;420;26;22;38;80;100;8;6;6;8;2
E2-25A2;1140;240;100;7180;43260;6802;60;18;1974;38;57;480;28;24;36;80;80;8;10;4;10;0
E2-26C31;64250;680;17530;11790;564620;3496;3070;529.3;30230;5951;329;32320;2635;5254;12722;12820;3310;234;1634;2968;858;240
E2-26C32;65190;700;19090;11880;581430;3628;3100;537;30471;5955;334.5;32540;2693;5462;12894;13220;3410;495;1668;3003;711;248
E2-26C41;66520;720;18470;11760;589230;3595;3080;536.3;30391;6027;312.8;33030;2699;5508;13172;12670;3310;386;1709;3125;737;255
E2-26C42;66050;730;10550;12000;570990;3565;2950;511.1;28816;5803;317.6;32730;2653;5443;12712;14660;3380;207;1660;4098;641;255
F2-F26D11;8810;480;35740;3860;704620;88.4;180;110.4;6415;1592;315.9;4170;328;712;1734;1930;1260;88;167;336;159;7060
F2-F26D12;8270;440;38830;3640;655710;79.7;160;99.7;5874;1471;314.3;3820;314;648;1558;2730;1160;92;154;291;130;406
F2-F26D21;9430;680;27530;3130;433300;155.6;440;911.6;48671;10294;1059;20090;1675;3631;8501;11370;7850;283;424;1962;427;421
F2-F26D22;11000;800;16890;3620;499120;181.9;500;1033;55318;11920;1167;23520;1969;4246;9596;13900;9300;217;497;2100;476;1261
E2-N26C4;10030;670;24980;2580;1312090;646.4;830;4.7;342;75;204.2;2240;127;233;532;350;1190;67;136;102;100;2139
E2-L26C1;52500;3540;22280;9240;446150;2974;2610;394.8;22659;4615;290;24490;2002;3911;9312;8430;2290;593;1293;2495;513;430
E2-F26C3;11220;870;31980;21400;948900;690.4;930;134.6;7309;1486;373.3;5310;404;781;1942;2250;1480;140;199;376;148;65
E2-N26C3;9050;620;17750;16000;1137360;529.5;710;104.4;5525;1081;287.7;3930;286;558;1441;1590;1670;10;150;284;116;998
E2-F26C4;13200;880;25470;2900;1036040;815.1;1030;4.6;366;92;260.2;20500;165;293;782;360;350;75;184;151;110;37
E2-P26C3;28670;1980;25230;5400;2254950;1683;2130;308.4;17059;3659;924.7;14720;1150;2339;5738;6010;4740;378;712;1339;296;738
E2-P26C4;25040;1780;22720;4370;1921980;1612;2000;268.5;14824;3253;794.4;13170;1018;2098;5233;5250;4520;366;638;1179;283;319
E2-L26C2;45820;2950;16080;7700;374180;2687;2060;299.9;17518;4548;843.8;86110;1649;3095;7298;6750;1890;347;1058;1705;378;322
E2-P26B2;28740;1970;19980;5690;2346150;1526;1970;322.1;17741;4047;888.5;16380;1230;2558;6167;6190;5750;316;731;1339;323;11457
E2-F26B2;15040;950;20790;3850;1536260;390.6;520;7.2;448;138;146.8;3770;219;427;1122;950;630;144;285;213;76;134
E2-P26B1;31470;2080;23550;6170;2598900;1485;1980;380.8;20835;4424;1036;18240;1415;2881;7211;6920;5850;416;864;1728;361;159
E2-26B1;22400;210;24990;4060;166920;896.3;1180;195.6;11319;2083;138.7;8070;674;1379;3459;3690;1130;187;383;715;226;66
E2-26B2;22560;220;21130;3780;169670;920.8;1180;196.2;11428;2154;139.7;8250;691;1408;3276;3780;1170;163;399;767;220;70
E2-F26B1;6960;400;24250;4870;588570;152.4;230;86.5;4478;896;212.4;2940;218;430;1131;3100;1070;75;128;278;108;31
