Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Cu 217.895;Cu 224.262;Cu 324.754;Cu 327.395;Co 230.786;Co 231.160;Co 258.033;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 182.562;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200
T2-L16G2;;;10;5;181.7 x;187.9 x;169.1 x;53.61;53.64;0.074;0.0043;4.444;5.704;3.998;4.283;1.195;1.241;1.662;3860 ox;3164 ox;156.7 x;146.2 x;6.589;6.868;6.668;11.47;33.62;33.82;32.43;32.05;33.32;0.4211;16.46 x;9488 x;1.21;0.4634;3.6;0.5586;0.8796;0.7751
T2-17A1;;;10;5;31.06 x;31.79 x;30.82 x;49.6;49.24;0.0115;0.0006;1.739;1.934;1.673;1.684;1.788;1.783;1.799;1555 x;1312 x;136.5 x;116.5 x;5.95;6.099;6.01;6.412;48.15;49.85;47.66;47.43;49.04;0.0548;2.229;1038;10.78;10.95;11.31;11.01;0.93;0.9569
T2-17A2;;;10;5;28.74 x;29.46 x;28.50 x;46.71;46.32;0.013;0.0008 uv;1.627;1.81;1.569;1.579;1.684;1.676;1.698;1381 x;1226 x;128.9 x;108.9 x;5.584;5.697;5.644;6.011;45.48;46.71;44.85;44.56;46.04;0.0505;2.05;966.3;9.152;9.329;9.627;9.347;0.8761;0.9015
T2-P17A1;;;10;5;3.196;3.692;3.397;57.36;57.16;0.048;0.0006 uv;0.1903;1.492;-0.0086 uv;0.0074;0.6955;0.7712;0.985;3772 ox;2917 ox;142.2 x;130.0 x;4.612;4.819;4.7;7.802;5.12;4.662;4.427;4.34;4.58;0.245;10.95;3347 x;8.209;8.076;10.14;7.981;0.53;0.484
T2-P17A2;;;10;5;1.25;1.685;1.376;58.62;58.05;0.0436;0.0005 uv;0.176;1.412;-0.0089 uv;0.0052;0.6803;0.7451;0.9547;3751 ox;2913 ox;152.5 x;135.8 x;4.96;5.156;5.049;7.957;3.069;2.595;2.473;2.385;2.55;0.2289;10.38;3199 x;6.779;6.599;8.697;6.517;0.5106;0.4714
T2-P17G1;;;10;5;4.781;5.236;5.021;53.02;52.81;0.04;0.0012 uv;0.2147;1.332;-0.0056 uv;0.0566;0.6113;0.6825;0.8564;3631 ox;2851 ox;125.5 x;114.5 x;3.96;4.145;4.046;6.801;4.738;4.389;4.151;4.051;4.289;0.2099;9.163;2991 x;4.64;4.431;6.199;4.365;0.4777;0.4429
T2-P17G2;;;10;5;1.448;1.806;1.57;54.75;54.27;0.0351;0.001;0.1514;1.128;-0.0078 uv;0.0107;0.5575;0.6223;0.7708;3482 x;2744 ox;126.9 x;113.3 x;3.998;4.177;4.102;6.604;2.677;2.309;2.194;2.12;2.262;0.1763;8.381;2637 x;3.242;3.018;4.523;3.014;0.4343;0.4064
T2-L17A1;;;10;5;198.2 x;205.1 x;184.3 x;59.18;59.28;0.0769;0.0029;5.4;6.751;4.928;5.226;1.3;1.341;1.814;3962 ox;3239 ox;168.4 x;156.8 x;7.423;7.754;7.522;12.7;36.1;36.37;34.92;34.5;36.03;0.4907;17.65 x;10290 x;9.684;9.451;13.09;9.4;0.9465;0.8302
T2-L17A2;;;10;5;203.9 x;211.1 x;189.5 x;59.82;59.45;0.076;0.0034;5.585;6.905;5.131;5.436;1.29;1.342;1.81;3898 ox;3207 ox;170.6 x;158.1 x;7.701;7.815;7.745;12.86;35.95;36.04;34.58;34.22;35.8;0.4908;16.76 x;10030 x;9.792;9.442;13.10 x;9.375;0.9408;0.8282
T2-18A1;;;10;5;30.45 x;31.26 x;30.27 x;48.35;47.99;0.0109;0.0008 uv;2.015;2.197;1.96;1.96;1.742;1.729;1.755;1494 x;1281 x;132.6 x;113.5 x;5.762;5.938;5.837;6.226;46.51;48.4;46.05;45.76;47.55;0.0554;2.08;1021;11.79 x;12.00 x;12.27 x;12.07 x;0.8998;0.9298
T2-18A2;;;10;5;28.92 x;29.66 x;28.73 x;46.01;45.72;0.0111;0.0008;1.918;2.085;1.868;1.871;1.669;1.655;1.676;1370 x;1200 x;127.1 x;107.9 x;5.481;5.635;5.568;5.928;44.77;45.84;44.22;43.67;45.2;0.0514;2.002;960.3;11.83 x;12.02 x;12.35 x;12.10 x;0.8627;0.887
T2-P18A1;;;10;5;0.3487;0.6583;0.4004;54.66;54.08;0.0333;0.0002 uv;0.1308;1.086;-0.0081 uv;0.005;0.4745;0.5426;0.6829;3407 x;2727 ox;128.9 x;116.1 x;3.974;4.14;4.062;6.431;0.9353;0.5174;0.4884;0.4562;0.5026;0.1765;7.931;2738 x;4.46;4.235;5.743;4.223;0.5718;0.5544
T2-P18A2;;;10;5;0.4223;0.7124;0.4756;55.83;55.57;0.0312;0.0004 uv;0.1236;1.005;-0.0074 uv;0.0056;0.3802;0.4466;0.5688;3339 x;2678 ox;132.5 x;118.1 x;4.214;4.393;4.321;6.527;0.7584;0.3568;0.3387;0.3169;0.3469;0.1636;7.227;2606 x;4.979;4.885;6.169;4.864;0.4081;0.3874
T2-L18A1;;;10;5;151.7 x;156.7 x;150.1 x;65.82;65.49;0.0596;0.0031;4.068;5.226;3.685;3.903;1.323;1.376;1.701;3899 ox;3129 ox;153.3 x;141.9 x;6.558;6.812;6.638;10.7;36.52;37.04;35.53;35.16;36.69;0.3528;13.60 x;9535 x;8.465;8.297;11.02;8.21;0.8801;0.8027
T2-L18A2;;;10;5;159.6 x;165.2 x;157.9 x;54.35;54.03;0.0611;0.0034;4.461;5.58;4.083;4.301;1.32;1.387;1.715;3831 ox;3142 ox;156.6 x;144.5 x;7.056;7.301;7.145;11.22;36.36;36.77;35.21;35.03;36.59;0.3617;14.06 x;9489 x;8.645;8.425;11.04;8.339;0.8936;0.8151
T2-F18Z1;;;10;5;0.2259;0.2627;0.2312;45.3;44.74;0.0054;0.0004 uv;0.0302;0.179;-0.0054 uv;0.0051;0.0772;0.0894;0.0976;767.7;803.8;22.42;22.45;0.6587;0.6928;0.683;1.071;2.044;2.062;1.944;1.91;2.023;0.0292;1.348;773.4;0.4506;0.4154;0.5795;0.4137;0.0977;0.0968
T2-F18Z2;;;10;5;0.0913;0.1194;0.0901;41.81;41.37;0.006;0.0004 uv;0.0221;0.1436;-0.0058 uv;0.0023;0.0529;0.0623;0.0702;613.7;655.3;20.23;20.15;0.6131;0.6407;0.6334;0.9503;1.854;1.871;1.762;1.737;1.838;0.0251;1.045;689.5;0.4528;0.4283;0.5656;0.4233;0.0676;0.0658
T2-N18A1;;;10;5;0.0138;0.0259;0.0158;110.3;110;0.0005;0.0001 uv;0.005;0.0039;-0.0005 uv;0.0001 uv;-0.0001 uv;-0.0006 uv;0.0007 uv;1.946;1.905;0.1917;0.1816;0.0049;0.0052;0.0054;0.0062;0.0044;0.0022;0.0028;0.0019;0.0034;-0.0010 uv;0.0062;380;0.0261;0.0219;0.0281;0.0232;0.0098;0.0107
T2-N18A2;;;10;5;0.0114;0.023;0.0134;88.82;88.56;0.0005;0.0002 uv;0.0018;0.0045;-0.0003 uv;0.0003 uv;0.0002 uv;-0.0003 uv;-0.0002 uv;0.9835;0.9454;0.1404;0.1301;0.0016;0.0018;0.0018;0.0023;0.0031;0.0015;0.0025;0.0009;0.0023;-0.0018 uv;0.0059;362.1;0.0302;0.0256;0.0305;0.0276;0.0107;0.0116
T2-F18G1;;;10;5;0.7812;0.8952;0.829;52.47;52.14;0.0132;-0.0005 uv;0.0612;0.4091;-0.0065 uv;0.006;0.1058;0.1411;0.1743;2199 x;1752 x;53.05;52.56;1.588;1.633;1.611;2.559;1.084;0.9487;0.9032;0.8742;0.9302;0.0706;3.227;1326 x;1.459;1.378;1.84;1.368;0.2655;0.2623
T2-F18G2;;;10;5;0.6307;0.7297;0.6679;50.12;49.78;0.0134;-0.0006 uv;0.0458;0.3625;-0.0065 uv;0.0019;0.0942;0.1265;0.1542;2032 x;1616 x;52.36;51.67;1.611;1.654;1.641;2.484;0.9454;0.8254;0.7832;0.7568;0.8052;0.0619;2.901;1018;1.348;1.276;1.671;1.271;0.184;0.179
T2-P17B2;192.1;;;5;10.19;10.38;10.47;560.1 x;590.1 x;0.0052;0.0035;0.295;0.3844;0.2668;0.2768;0.0534;0.0592;0.0611;454.1;471.6;8.986;9.127;0.3031;0.3181;0.3141;0.5636;1.672;1.672;1.601;1.583;1.635;0.0361;0.8221;674.6;10.24;10.45;10.64;10.52;0.0781;0.0751
T2-17B2;195.1;;;5;33.46 x;34.20 x;33.06 x;80.29;80.11;0.0116;0.0002 uv;0.9601;1.243;0.8654;0.898;0.0913;0.1262;0.1488;1961 x;1566 x;20.41;20.7;0.7546;0.7913;0.7755;1.628;2.526;2.447;2.341;2.305;2.4;0.1175;2.888;232.1;6.086;6.189;6.588;6.169;0.1139;0.0942
T2-L17B2;190.1;;;5;15.08 x;15.27 x;15.01 x;142.8;143.4;0.0027;0.0010 uv;0.6655;0.7138;0.64;0.6392;0.068;0.0678;0.0709;276.9;266.8;12.13;11.99;0.4571;0.4754;0.4713;0.6036;1.49;1.498;1.438;1.432;1.478;0.0703;0.5298;725.1;5.802;5.967;6.026;5.995;0.053;0.0483
T2-L16B2;181.4;;;5;15.65 x;15.88 x;15.58 x;106.6;106.4;0.0023;0.0026;0.4949;0.5502;0.4743;0.4734;0.0623;0.0664;0.0669;282.6;272.6;12.81;12.59;0.4529;0.4654;0.4637;0.603;1.378;1.384;1.325;1.313;1.356;0.0964;0.5581;652.4;6.208;6.364;6.443;6.424;0.0491;0.0445
T2-17B1;191.5;;;5;32.57 x;33.28 x;32.15 x;100.5;100.5;0.0112;-0.0002 uv;0.9942;1.24;0.914;0.9442;0.0906;0.124;0.1437;1784 x;1442 x;20.43;20.78;0.8092;0.8471;0.8348;1.603;2.541;2.466;2.371;2.334;2.427;0.1113;2.604;256.3;7.28;7.412;7.713;7.402;0.105;0.0859
T2-16B1;197.3;;;5;34.65 x;35.41 x;34.05 x;102.5;102.1;0.0127;-0.0002 uv;1.066;1.266;0.9815;1.008;0.0965;0.1305;0.1515;1811 x;1513 x;20.88;22.02;0.8785;0.9002;0.8906;1.673;2.664;2.576;2.515;2.468;2.553;0.1569;2.878;267.2;10.48;10.63;11.05;10.57;0.116;0.0943
