Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-6A2;27159.7;555.5;35432;837;48636;3192;601;979.1;27475;31.8;571.1;8189;173.6;15;42;136;1298;7.6;3.5;3.15;162.8;148;1251
T2-L6A1;131216.6;6885.4;25213;10360;47862;3541;4683;658.7;18910;3840.7;551.2;24352;5412.8;1184;1577;8427;2072;565.3;931.3;61.05;135.4;160;79027
T2-L6A2;122269.8;6296.9;25904;8585;60951;3522;4396;693.6;19836;3600;561.9;22584;4921.3;1046;1323;7253;2013;632.2;879.6;56.8;211.5;123;56988
T2-P6A1;1158;1157.4;1889;443;46873;2100;1663;182.1;621;27.8;177;712;34;15;37;80;137;121.8;5.1;3.2;15.1;115;392
T2-P6A2;259.1;1428.5;1412;931;44340;2125;2195;197;360;15.5;188.8;676;16.4;15;36;41;121;31.1;3.3;3.55;6.7;19;176
T2-F6Z2;80.2;757.7;388;886;36632;1121;1151;77.5;776;7.5;75.8;507;0;17;20;33;95;14.5;0;2.15;3;24;219
T2-L7A1;123745.9;6845.5;153;9263;57319;3465;4437;655.8;18704;3674.1;546.5;23349;5177.3;1047;1324;8922;2016;526.1;901.2;48.45;13.8;238;67932
T2-L7A2;129499.4;6640.9;130;9540;50718;3565;4680;651.1;18785;3968.1;560.2;24638;5527.9;1132;1393;9111;2191;570.8;973.9;51.1;11.9;144;65076
T2-P7A1;1200.1;1254.6;199;231;40820;1989;1865;286.1;2074;25.4;241.7;1150;30.6;14;32;48;117;11.9;3.1;5.45;3.9;93;241
T2-P7A2;4136.5;1393.9;206;135;44307;2126;2026;327.9;4054;24.6;278.8;1753;47.5;14;33;21;494;6.9;4.8;7.5;5.2;121;82
T2-F7A1;3759.9;1061.3;174;371;47562;1702;1582;221.8;3071;13.5;221.8;1340;31.7;15;33;4219;155;6.9;1.6;4.45;5.2;23485;557
T2-F7A2;6284.8;1179.6;159;169;44837;1816;1715;264.6;4726;13.6;240.7;1845;47.8;15;49;3034;290;5.2;3.2;6.45;3.6;21432;525
T2-7A1;22511.8;457;180;627;38020;2619;493;809.5;22900;26.8;458.6;6618;146.9;14;15;57;1116;6.6;3.3;8.95;3.5;771;243
T2-7A2;23347;467;133;540;38541;2703;515;835.7;23080;25.7;472;6889;150.1;15;12;144;1131;6.3;3.3;5.85;3.3;934;216
T2-F7Z21;3442.6;937.2;109;264;42994;1474;1411;215.6;4279;8.7;207.7;1637;46.9;0;12;19;141;7.1;1.6;3.8;3.8;184;169
T2-F7Z22;3711.4;946.3;105;392;54337;1447;1404;211.8;4230;26.5;214.8;1649;45.1;13;10;10514;188;6;3;4.4;5.5;43262;1421
T2-F7Z1;1515.9;857.3;75;239;42309;1284;1196;173;2981;8.5;154.9;1179;30.1;0;12;1294;93;7.5;1.5;2.8;4;8021;339
T2-N7A1;80.9;50.8;85;3239;45043;241;10;0;19;2.3;1.7;24;0;0;1;333;16;2.8;0;1.45;1.5;1401;177
T2-N7A2;49;52.7;70;3463;41196;238;5;0;18;4;7;7;0;0;0;876;21;2.2;0;1.15;3;2904;56
T2-N7G1;310.1;64.9;97;2944;50025;215;21;1.6;45;20.2;40.6;33;0;15;2;10096;31;6.6;1.6;1.05;3.5;29201;1038
T2-N7G2;72.2;67.3;101;2876;37141;227;7;0;20;4;11.8;21;0;0;1;1357;26;4.5;0;1.7;1.6;6154;196
