Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-P8B2;5832.4;203;31303;1402;242154;109;127;14.2;505;153.2;37.6;772;152.3;182;369;438;383;16.1;27.4;64.15;23.3;880;6368
T2-N8B1;4609.5;161;17254;1217;297382;111;133;13.9;324;43.7;31.1;658;107.3;126;325;532;298;9.1;20.4;41.4;9.4;855;5304
T2-N8E11;3946.2;147.7;16384;941;263737;112;114;11.6;288;38.8;41.1;615;84.4;103;204;300;236;10.1;16.9;28.55;28.3;422;4504
T2-N8E12;3949.1;153.6;5792;1110;260510;131;111;11;274;38;35.1;509;76.8;107;168;415;209;9.1;16.5;29.25;12.8;321;4272
T2-N8E13;3726.7;154;9086;1362;252808;221;117;11;258;32.6;31.9;517;77;97;157;317;272;8;15.4;25.75;4;1069;4250
T2-N8E21;5264.7;181.8;25280;987;325018;147;140;15.2;397;77.7;50.5;1252;111.1;136;267;546;310;13.1;22.2;40.25;12.1;695;5602
T2-N8E22;2531.6;89;15037;996;162776;91;70;7.8;210;25.1;32.3;348;66.8;65;114;233;189;6.9;11.1;18.3;8.5;289;2838
T2-8A1;30000.4;581.9;828;571;50299;3513;665;1087.7;29663;64.4;615.5;9144;223.8;18;14;604;1412;1;4.5;0.95;1;1207;109
T2-8A2;30871.1;586.6;632;584;51490;3535;679;1103.2;30479;55.9;618.1;8950;225.6;19;14;587;1454;1;2.3;0.7;1;1351;152
T2-L8A1;152728.4;8499.5;334;12799;47064;4192;5243;694.8;19963;4461.5;618.4;29641;6708.9;1311;1787;11848;2615;618.8;1143.6;50.55;7.6;1346;114451
T2-L8A2;142792.9;7735;333;11924;46119;3981;5012;661.6;18884;4276.1;606.9;27574;6069;1224;1710;10882;2388;612.1;1087.7;59.7;7.6;1342;91697
T2-P8A1;9909.5;1575.6;364;152;54841;2552;2345;363.6;5550;32.3;321.2;2389;80.8;18;40;981;1426;4.9;10.1;3.9;3.9;2543;501
T2-P8A2;5125.4;1465.6;340;170;52415;2691;2164;356.8;5095;16.7;331.3;2109;63.7;20;41;1078;922;4.4;4.2;4.45;1.5;2940;358
T2-F8A2;8770.2;1341.4;331;169;53404;2461;1969;316.9;6279;11.8;303.3;2380;58.3;19;59;1193;669;5.3;3.9;5.5;4.2;3777;400
T2-F8A1;11865.7;1518.5;300;208;52900;2447;2242;331.7;6277;12;309.7;2536;59.9;19;65;1029;582;3;4;5;4;3237;460
T2-N8A2;74.8;89.4;380;5355;59751;353;18;17.9;34;4;6.7;43;0;0;3;335;42;0;0;0.05;1.1;267;154
T2-N8A1;57.6;218.2;349;4133;57801;1619;157;28.4;108;6.2;10.9;114;0;0;3;390;49;1.9;0;0.5;1.3;135;247
T2-F8Z2;6578.7;1202.9;290;307;55830;2189;1761;296.6;6450;10.2;280;2330;62.2;0;4;1113;713;0.5;2.1;2;1.7;3000;462
T2-F8Z1;5324.4;1065;307;393;52869;1738;1600;227.3;5872;10.1;219.1;2118;61.4;0;5;1139;150;0.7;2;2.1;3.9;2924;380
T2-N8G2;50.6;88;352;4569;56617;272;11;17.6;40;6.2;24.2;61;0;0;3;372;102;1;0;0.05;1.2;420;2182
T2-N8G1;131.8;157.2;314;3003;43912;1211;153;31.4;245;6.2;69.6;119;0;0;3;359;56;1;0;0.05;3.3;110;198
T2-9A1;29716;584.3;260;701;49569;3426;628;1077.7;29886;101.4;623.2;8620;194.8;15;25;105;1374;1;2.2;0.2;3.5;49;167
T2-9A2;30570.5;604.8;281;821;50760;3535;652;1110.2;30533;107.7;632.9;8775;194.4;14;25;385;1471;1;4.3;2.25;3.5;70;665
T2-L9A1;149497.8;8094.1;152;12339;41794;3961;5288;648.8;18591;4602.2;596.8;30473;7074.2;1522;1913;11259;2584;683.4;1226.1;85.95;25.2;113;123010
T2-L9A2;148003.6;7780.4;127;12998;41852;3962;5241;629.6;17799;4564.1;593.6;29450;6953.6;1504;1933;11634;2462;672.2;1240.2;91.65;71.5;179;130471
T2-F9A1;3710.2;1036.3;200;189;49836;2021;1476;260;4318;22.2;230.9;1730;54.5;17;43;146;322;4.1;5.5;3.25;6.4;127;309
T2-F9A2;5086.6;1164.2;203;183;51901;2261;1713;299.4;5164;11.4;268;1944;37;18;44;95;629;0.2;1.8;4.1;4.5;52;120
T2-P9A1;2641.7;1374.6;209;261;60026;2646;2013;367.1;3707;19.7;314.9;1630;34.8;16;42;119;556;4.6;3.5;4.75;4.8;26;443
T2-P9A2;3648.9;1392;211;178;50649;2594;1991;348.9;3232;23.4;315.4;1511;35.2;16;43;121;716;5.7;1.8;4.85;4.7;218;160
T2-N9G1;29.6;62.9;189;4272;44260;141;8;16.8;14;1.9;6.3;12;0;0;4;99;14;0;0;0.55;1.6;0;97
T2-N9G2;27.2;61.4;164;5401;49659;62;14;16.4;52;2;8.2;19;0;0;5;74;11;3.7;0;0.6;0;0;309
T2-N9A1;22.6;77.3;155;4401;54618;143;8;15.5;12;4;5.8;9;0;19;6;103;18;2.5;0;0.65;2.3;0;472
T2-N9A2;82.6;60;140;5942;56475;89;8;16;15;2;2;23;0;20;5;130;4;2;0;0.4;2;0;160
T2-F9Z1;638;724.6;93;193;47939;1419;1054;191.4;3011;5.9;150.5;1130;18.6;0;6;77;121;3.1;0;1.6;2.6;0;168
T2-F9Z2;2643.8;807.8;129;11181;47364;1481;1127;205.6;3561;7.7;181.8;1279;36.7;0;25;112;290;5.1;0;0.25;2.7;0;231
T2-N6A1;84.4;42;1365;3360;63336;5;4;0;8;4;2.1;36;0;21;4;57;117;3.3;0;0.15;3.7;0;44
T2-N6A2;51.4;79.4;1210;3893;56487;414;12;0;5;2;4;37;0;0;5;49;112;2.1;0;0.4;4;0;46
T2-F6A1;1601.1;805.2;1257;725;51128;1499;1145;84.5;909;4;121.8;510;19.6;19;25;48;148;0.3;2;1.8;2.1;0;191
T2-F6A2;132.5;1054.5;1295;1310;52642;1530;1582;103.6;787;5.9;131.4;598;18.5;18;25;40;162;3.2;1.9;2.05;2.6;0;97
T2-6A1;25447.6;526.6;32198;823;46190;3013;581;933.4;26150;33.1;544.8;7773;163.4;16;43;128;1208;5.3;3.6;1.4;108.1;127;1127
