Метки Образцов;Масса навески (g);sample_mass;Разбавление;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 334.502
T2-9B1;95.5;;;18.78 x;19.55 x;19.21 x;41.52;41.73;0.0074;0.0002 uv;0.051;0.0638;0.0684;0.7403;0.7484;751.1;764.1;9.824;9.947;0.3837;0.3861;0.3845;1.291;1.23;1.231;1.24;1.238;0.066;1.474;120.6;117.9;114.4;116.1;0.9841;1.004;0.994;8.054;8.275;8.489;8.249;0.0935;0.0812;0.1314;0.2773
T2-P9B1;102;;;6.601;6.709;6.722;298.8;285;0.0031;0.0033;0.0233;0.0269;0.0242;0.2146;0.2189;233.4;231.1;4.327;4.466;0.1438;0.1437;0.1436;0.6828;0.6664;0.665;0.6843;0.6721;0.0202;0.441;335.2;332.1;323;325.1;0.9577;0.9758;0.969;9.123;9.412;9.527;9.415;0.0601;0.0567;0.0726;0.0995
T2-F9B1;97.8;;;5.377;5.404;5.404;323.2;325;0.0023;0.0027;0.0144;0.0136;0.0123;0.03;0.0372;187.2;188;3.554;3.658;0.113;0.1128;0.1126;0.2473;0.2344;0.2336;0.2462;0.2334;0.0214;0.3507;333.7;330.6;322.5;323.3;0.9652;0.9819;0.9752;8.425;8.679;8.78;8.665;0.0479;0.0464;0.0563;0.072
T2-N9B1;113.1;;;5.707;5.737;5.748;359.7;366.9;0.0031;0.0018 uv;0.0206;0.0236;0.0219;0.0329;0.0418;245;235.6;4.454;4.596;0.1718;0.1693;0.1689;0.3862;0.3691;0.3675;0.3776;0.3682;0.0324;0.4711;301.5;301.3;291.3;293.2;0.9496;0.9705;0.961;6.677;6.84;6.957;6.824;0.0724;0.0715;0.0857;0.1088
T2-N9E2;100.9;;;5.198;5.21;5.231;364;372;0.0035;0.0041;0.0212;0.0236;0.0224;0.044;0.0526;231.9;235.4;5.431;5.661;0.1777;0.177;0.1765;0.3993;0.3799;0.3812;0.3965;0.3813;0.0202;0.445;303.5;303.3;293.1;295.6;0.9418;0.9618;0.9543;9.823;10.13;10.26;10.17;0.0646;0.0634;0.0775;0.1008
T2-9B2;103.7;;;20.78 x;21.69 x;21.23 x;45.76;46.13;0.0085;0.0000 uv;0.0579;0.0708;0.08;0.8483;0.8563;883.4;884.7;11.49;11.73;0.4347;0.4377;0.4345;1.484;1.414;1.419;1.432;1.42;0.0682;1.677;135.8;134.6;130.6;132.1;0.9642;0.987;0.9758;11.85 x;12.21 x;12.35 x;12.27 x;0.0796;0.0649;0.1248;0.2894
T2-F9D1;111.4;;;10.28;10.52;10.6;381.7;390.8;0.004;0.0028;0.0425;0.0458;0.0442;1.062;1.035;262.6;266.2;2.319;2.332;0.0967;0.0978;0.0968;1.795;1.789;1.784;1.798;1.792;0.031;0.526;472.3;464.8;450.9;454.6;0.955;0.9747;0.9662;9.946;10.26;10.38;10.27;0.1201;0.1102;0.1319;0.1544
T2-N9E11;124.3;168.5173;;6.328;6.425;6.445;421.8;432.6;0.0036;0.0033;0.0243;0.0262;0.0254;0.0338;0.0437;260.8;260.7;3.78;3.868;0.1858;0.1848;0.1844;0.4449;0.4247;0.4237;0.437;0.4241;0.0317;0.5004;348.4;346.5;334.8;337.7;0.9483;0.9702;0.9614;8.607;8.871;9.035;8.877;0.1025;0.1012;0.115;0.1432
T2-F9D2;97.2;;;7.785;7.875;7.956;293;285.1;0.0033;0.0025;0.0375;0.037;0.0363;0.9016;0.8808;207;208.5;2.05;2.039;0.0736;0.0737;0.0739;1.573;1.565;1.564;1.585;1.57;0.0212;0.3901;357.4;352.4;343.6;345.8;0.9767;0.9965;0.9903;10.19;10.51;10.61;10.52;0.0588;0.0507;0.0685;0.0905
T2-N9E12;99.2;168.5173;;5.047;5.058;5.088;345.5;353.2;0.0032;0.0037;0.0207;0.0218;0.0208;0.0304;0.0392;223.4;224.6;3.568;3.643;0.1619;0.1611;0.161;0.3661;0.3501;0.351;0.3648;0.3509;0.0198;0.4278;286.7;285.2;275.7;277.8;0.9748;0.9924;0.9847;9.062;9.347;9.487;9.371;0.0737;0.0727;0.084;0.1105
