name;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
T2-L3P3F3A1;21.02;3780.0;59340.0;0.262;73.786;4.8386000000000005;5900.0;0.558;6.292;0.034;0.77;0.0033374;0.00012;3.8e-05;8e-05;0.00018;0.001348;1e-05;1.4e-05;6e-06;2.6e-05;0.00218
T2-L3P3F3B1;7.1973;250.0;19020.0;1.271;256.38;0.1468;170.0;0.013;0.192;0.034;0.054;0.033695;0.00018;0.000218;0.00032;0.00063;0.003513;2.3e-05;3.9e-05;6.2e-05;1e-05;0.01012
T2-L3P3F3C1;5.0795;220.0;22720.0;0.893;304.86;0.18030000000000002;218.0;0.019;0.286;0.028;0.103;0.00086;0.00012;0.000138;0.00025;0.00079;0.000353;1.7e-05;2.5e-05;4.1e-05;3.4e-05;0.00742
T2-L3P3F3D1;13.632;520.0;730.0;2.669;235.24;0.1338;148.0;0.252;14.653;5.46;0.262;0.007104;0.00197;0.003128;0.00399;0.00234;0.003606;0.000108;0.000179;0.001065;7.1e-05;0.03331
T2-L3P3F3D1;9.2754;430.0;30640.0;1.314;236.84;0.1281;275.0;0.904;22.821;4.728;0.538;0.008043;0.00117;0.001559;0.00235;0.00186;0.005595;8.4e-05;0.000101;0.000522;7.9e-05;0.02158
T2-L3P3F3D2;12.295;710.0;38150.0;2.41;299.76;0.1439;194.0;0.385;12.962;5.479;0.382;0.006753;0.00183;0.002776;0.00526;0.00396;0.004674;0.000165;0.000167;0.001228;0.000187;0.01837
T2-L3P3F3D2;9.9947;390.0;23230.0;1.229;286.96;0.12129999999999999;320.0;0.628;15.931;2.853;0.319;0.005987;0.00097;0.00155;0.00261;0.00181;0.003756;4.4e-05;9.6e-05;0.000565;0.000107;0.02568
T2-L3P3F3N3A1;0.0988;80.0;69580.0;10.426;105.118;0.019;16.0;0.0;0.0;0.012;0.03;9.72e-05;1e-05;1.9e-05;0.0;6e-05;8.2e-05;1e-05;0.0;5e-06;8.2e-05;0.0019
T2-L3P3F3N3A1;0.1764;180.0;70980.0;8.506;87.432;1.263;60.0;0.002;0.0;0.016;0.038;6.46e-05;1e-05;1.9e-05;2e-05;8e-05;0.000104;1e-05;2e-06;5e-06;0.000158;0.00242
T2-L3P3F3N3B1;5.8914;160.0;700.0;1.227;250.56;0.21159999999999998;260.0;0.023;0.325;0.044;0.148;0.002196;0.00014;0.000167;0.00024;0.00066;0.000532;3.1e-05;2.8e-05;5e-05;2.5e-05;0.00818
